Age,Salary
23,2110
22,2164
22,3078
22,3031
20,2764
22,3041
20,3059
20,3183
25,3807
21,2424
29,4525
28,5010
27,5132
25,4309
30,5083
26,5304
28,4463
25,5955
29,5464
30,5441
35,6224
31,6227
35,7978
32,6231
31,6991
35,6988
31,6901
32,6215
33,6375
32,6189
36,8806
37,9692
36,8742
40,8393
39,9396
37,9536
37,8496
38,8028
35,8697
40,9196
45,10266
40,10461
44,10460
44,11318
43,11936
45,10946
43,10143
45,11757
40,10013
44,11185
47,12604
45,12981
45,12510
48,13561
50,12841
49,13958
49,13651
48,12838
47,13979
46,12579
53,14665
54,15088
52,14960
52,14078
55,15094
55,14068
51,14557
51,14889
54,14529
51,14710
57,17827
59,16549
60,17838
59,16977
58,16378
57,16863
55,17262
56,16893
60,17302
60,17202
